"Your ""ID""", [mango], [banana chocolate], [black cherry], [apple pie], [coconut], [chocoloate], [mint chip], [peach], [French vanilla], [coffee], [lime], [lemon], [eggnog], [ginger], [avacado], [sea salt caramel], [pistachio], [strawberry], [butter pecan], [vanilla chai], [blueberry], [smurf], [rose], [peanut butter], [malaga], [pineapple], [melon], [orange], [chocolate chip cookie dough], [rocky road], [strawberry cheesecake], [peppermint], [cotton candy], [lemon custard], [hazelnut], [tiramisu], [gingerbread], [green tea], [pear], [guava], [pomegranate], [papaya], [pink grapefruit], [kiwi], [bubble gum], [stracciatella], [jalapeño], [watermelon], [grape], [fudge ripple]
eijer,9,8,7,7,3,3,3,3,5,7,7,4,4,4,9,9,7,1,1,1,1,1,5,5,6,7,7,7,6,6,6,1,1,5,5,6,7,7,7,6,1,9,1,1,9,9,2,4,6,7
walbo,7,6,8,4,3,7,4,6,8,2,8,9,2,1,1,9,8,8,7,8,8,2,6,7,6,7,7,7,9,5,6,3,3,7,6,4,3,6,7,5,7,6,6,5,3,8,1,7,6,6
leibb,3,9,5,5,7,9,9,1,9,6,1,5,1,1,1,9,8,5,9,9,4,9,1,7,1,5,3,2,9,6,6,5,8,3,9,7,5,5,1,3,3,1,5,1,2,8,1,3,2,8
janse,2,2,1,1,3,4,9,3,2,2,2,2,1,1,1,5,6,2,4,4,2,1,1,6,5,2,2,1,4,4,5,8,1,1,7,5,5,4,1,1,1,1,1,1,1,6,1,1,1,1
zlatk,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,
Leven,9,9,1,1,1,9,1,9,1,1,1,1,1,1,9,9,1,9,1,1,1,1,1,9,1,9,9,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,9,9,9,1,9,9,1
darba,6,8,4,4,2,9,6,7,7,8,6,6,3,2,5,5,8,9,7,5,8,7,5,5,5,5,5,6,8,8,8,5,6,6,8,9,7,6,5,6,6,6,5,5,5,5,4,5,5,6
bruin,,5,,3,,5,,2,1,,,,,,,4,,7,,,5,,,2,,,1,,2,,,,,,,,,,9,,,,,,,,2,,2,
civas,,,,,,,,,,,,,,,,1,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,7,,
matul,,2,,,,1,,,,,,,,,,,,1,,3,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,
Swast,5,2,8,6,1,7,2,7,5,8,8,8,4,1,1,2,2,7,6,5,9,2,2,2,2,2,2,7,8,4,9,4,4,7,8,8,3,3,6,6,6,1,4,8,5,5,1,3,8,6
